=== XẾP HẠNG SELLER ===

  Hạng Seller_ID                                   Tổng DT   Số đơn       Tiền hàng       Phí VC
   101 c003204e1ab016dfa150abc119207b24          29,850.89      197       25,108.09     4,742.80
   102 b32be1695eb7ec5f10f72d9610a12527          29,831.02       45       26,874.00     2,957.02
   103 de23c3b98a88888289c6f5cc1209054a          29,081.81      164       26,399.67     2,682.14
   104 dc4a0fc896dc34b0d5bfec8438291c80          28,795.09      231       24,180.77     4,614.32
   105 a416b6a846a11724393025641d4edd5e          28,670.52      162       25,670.72     2,999.80
   106 710e3548e02bc1d2831dfc4f1b5b14d4          27,855.07      136       23,979.11     3,875.96
   107 1c68394e931a64f90ea236c5ea590300          27,729.16      142       24,832.75     2,896.41
   108 1a3df491d1c4f1589fc2b934ada68bf2          27,594.12      167       23,302.70     4,291.42
   109 f62d7bb4a613ec758a03342d46b580b2          26,790.59       32       24,665.00     2,125.59
   110 b94cc9f10ddc85e4ba73a6f7974e7101          26,368.49       39       25,346.10     1,022.39
   111 7ad32824caee82087b3e2e5f33b1bf32          26,050.32      151       22,505.10     3,545.22
   112 8f2ce03f928b567e3d56181ae20ae952          25,550.01      153       21,712.90     3,837.11
   113 729f06993dac8e860d4f02d7088ca48a          25,479.65       96       20,485.08     4,994.57
   114 f45122a9ab94eb4f3f8953578bc0c560          25,404.13      187       22,078.29     3,325.84
   115 612170e34b97004b3ba37eae81836b4c          25,372.08      107       23,065.02     2,307.06
   116 b1b3948701c5c72445495bd161b83a4c          25,185.49       18       24,699.19       486.30
   117 8444e55c1f13cd5c179851e5ca5ebd00          24,951.27       99       22,873.21     2,078.06
   118 2b3e4a2a3ea8e01938cabda2a3e5cc79          24,535.10       52       23,629.15       905.95
   119 b37c4c02bda3161a7546a4e6d222d5b2          24,487.60        4       24,075.00       412.60
   120 744dac408745240a2c2528fb1b6028f3          24,385.02       79       22,490.60     1,894.42
   121 06e5eefc71ec47ae763c5c6f8db7064f          24,381.84       92       22,188.56     2,193.28
   122 85d9eb9ddc5d00ca9336a2219c97bb13          24,029.58      509       15,415.24     8,614.34
   123 40db9e9aa57f7bb151bcda6b0f9bdbb7          23,823.99       12       23,168.00       655.99
   124 05ff92fedb5be47920fea08e501238b9          23,808.17       59       21,992.78     1,815.39
   125 0dd184061fb0eaa7ca37932c68ab91c5          23,766.42      161       18,446.92     5,319.50
   126 59fb871bf6f4522a87ba567b42dafecf          23,754.76      126       21,708.57     2,046.19
   127 ff69aa92bb6b1bf9b8b7a51c2ed9cf8b          23,695.20       20       21,940.80     1,754.40
   128 00ee68308b45bc5e2660cd833c3f81cc          23,440.66      135       20,260.00     3,180.66
   129 7b0df942f46435babab05d49b744b2c4          23,272.78       32       22,600.63       672.15
   130 004c9cd9d87a3c30c522c48c4fc07416          23,263.94      158       19,712.71     3,551.23
   131 f457c46070d02cadd8a68551231220dd          22,807.22      199       19,093.00     3,714.22
   132 bfd27a966d91cfaafdb25d076585f0da          22,645.05      117       19,921.00     2,724.05
   133 48162d548f5b1b11b9d29d1e01f75a61          22,592.17       68       20,510.14     2,082.03
   134 dc317f341ab0e22f39acbd9dbf9b4a1f          22,570.13       55       18,988.40     3,581.73
   135 44073f8b7e41514de3b7815dd0237f4f          21,901.93      144       18,729.64     3,172.29
   136 128639473a139ac0f3e5f5ade55873a5          21,694.45      533       11,908.85     9,785.60
   137 0c8380b62e38e8a1e6adbeba7eb9688c          21,455.83      182       17,348.79     4,107.04
   138 41b39e28db005d9731d9d485a83b4c38          21,042.91      195       17,112.55     3,930.36
   139 cd68562d3f44870c08922d380acae552          20,777.19      125       18,569.70     2,207.49
   140 821fb029fc6e495ca4f08a35d51e53a5          20,740.25       28       19,187.42     1,552.83
   141 54a1852d1b8f10312c55e906355666ee          20,614.40      200       17,226.44     3,387.96
   142 7aa4334be125fcdd2ba64b3180029f14          20,603.33      217       16,234.81     4,368.52
   143 86ccac0b835037332a596a33b6949ee1          20,588.60      180       16,619.93     3,968.67
   144 fa40cc5b934574b62717c68f3d678b6d          20,586.77      307       16,055.87     4,530.90
   145 76d64c4aca3a7baf218bf93ef7fa768d          20,455.29       64       16,911.80     3,543.49
   146 96493fab2fbb13a14d0c0e8772eef5c3          20,181.23       63       18,969.00     1,212.23
   147 d650b663c3b5f6fb392b6326366efa9a          20,153.04       60       19,242.90       910.14
   148 2a5b78b41cd05baeac8df54c6606b92c          20,132.83       49       19,025.36     1,107.47
   149 1e8b33f18b4f7598d87f5cbee2282cc2          20,011.30      123       17,309.06     2,702.24
   150 527801b552d0077ffd170872eb49683b          20,005.36       90       17,942.80     2,062.56
   151 c33847515fa6305ce6feb1e818569f13          19,894.26      114       15,519.85     4,374.41
   152 4b9750c8ad28220fe6702d4ecb7c898f          19,305.10      218       15,915.30     3,389.80
   153 9de4643a8dbde634fe55621059d92273          19,282.41       72       17,560.34     1,722.07
   154 2a84855fd20af891be03bc5924d2b453          19,270.61      164       15,819.10     3,451.51
   155 79ebd9a61bac3eaf882805ed4ecfa12a          19,105.14      136       15,092.79     4,012.35
   156 165fc07beebdcb6190fba8a06db2a449          19,081.43       50       17,481.40     1,600.03
   157 4c2b230173bb36f9b240f2b8ac11786e          18,989.84      261       14,592.27     4,397.57
   158 a888faf2d1baececa6baf9c3d603ee1f          18,887.32       54       17,765.80     1,121.52
   159 213b25e6f54661939f11710a6fddb871          18,839.96      155       15,379.50     3,460.46
   160 c72de06d72748d1a0dfb2125be43ba63          18,733.18       21       17,522.00     1,211.18
   161 94144541854e298c2d976cb893b81343          18,715.65       68       17,286.28     1,429.37
   162 ef0ace09169ac090589d85746e3e036f          18,538.95      129       16,223.30     2,315.65
   163 4a3ccda38b2129705f3fb522db62ca31          18,494.93       66       17,062.59     1,432.34
   164 0adac9fbd9a2b63cccaac4f8756c1ca8          18,460.22      110       15,960.95     2,499.27
   165 2138ccb85b11a4ec1e37afbd1c8eda1f          18,426.25      396       12,357.03     6,069.22
   166 abe42c5d03695b4257b5c6cbf4e6784e          18,158.23       50       17,159.00       999.23
   167 229c3efbfb0ea2058de4ccdfbc3d784a          18,106.57      121       15,744.00     2,362.57
   168 1b4c3a6f53068f0b6944d2d005c9fc89          17,791.67      113       14,760.30     3,031.37
   169 8ae520247981aa06bc94abddf5f46d34          17,766.34       65       16,320.99     1,445.35
   170 01fdefa7697d26ad920e9e0346d4bd1b          17,690.07      129       14,921.43     2,768.64
   171 66922902710d126a0e7d26b0e3805106          17,581.07      151       14,362.30     3,218.77
   172 d921b68bf747894be13a97ae52b0f386          17,403.81       77       15,645.80     1,758.01
   173 5cf13accae3222c70a9cac40818ae839          17,402.47      149       14,383.20     3,019.27
   174 ce248b21cb2adc36282ede306b7660e5          17,296.95       65       15,230.06     2,066.89
   175 e5a38146df062edaf55c38afa99e42dc          17,254.59      121       15,360.07     1,894.52
   176 d94a40fd42351c259927028d163af842          17,220.94      101       13,823.80     3,397.14
   177 c3acdfac4e3e97ff87529454fbc03642          17,057.28       12       16,788.00       269.28
   178 6d66611d7c44cc30ce351abc49a68421          16,854.37      166       13,593.40     3,260.97
   179 2e90cb1677d35cfe24eef47d441b7c87          16,782.16      127       13,894.71     2,887.45
   180 669ae81880e08f269a64487cfb287169          16,621.46      162       13,248.87     3,372.59
   181 f9244d45189d3a3605499abddeade7d5          16,607.42       21       15,731.43       875.99
   182 1f1bb1f0859883505541bdd6606193e5          16,562.87       27       16,040.84       522.03
   183 3b15288545f8928d3e65a8f949a28291          16,513.69      104       14,061.79     2,451.90
   184 6061155addc1e54b4cfb51c1c2a32ad8          16,513.31       28       15,633.40       879.91
   185 a673821011d0cec28146ea42f5ab767f          16,490.14      129       13,863.69     2,626.45
   186 75d34ebb1bd0bd7dde40dd507b8169c3          16,479.51       62       15,048.28     1,431.23
   187 c847e075301870dd144a116762eaff9a          16,460.78       42       15,348.70     1,112.08
   188 a3e9a2c700480d9bb01fba070ba80a0e          16,323.89      130       13,440.80     2,883.09
   189 cfb1a033743668a192316f3c6d1d2671          16,236.20      147       12,803.64     3,432.56
   190 8e6d7754bc7e0f22c96d255ebda59eba          16,212.51       85       14,497.27     1,715.24
   191 87b740daf17b5d1be335a64164ec6842          16,182.38       13       14,699.87     1,482.51
   192 a5cba26a62b8b4d0145b68b841e62e7f          16,120.66       54       14,737.84     1,382.82
   193 6edacfd9f9074789dad6d62ba7950b9c          16,087.60      208       13,147.10     2,940.50
   194 6039e27294dc75811c0d8a39069f52c0          16,047.17       64       13,670.70     2,376.47
   195 1f9ab4708f3056ede07124aad39a2554          16,043.51       78       13,602.73     2,440.78
   196 440dd6ab244315c632130ecfb63827b1          15,793.21       94       13,696.90     2,096.31
   197 ac3508719a1d8f5b7614b798f70af136          15,792.23      103       12,775.84     3,016.39
   198 701938c450705b8ae65fc923b70f35c7          15,792.12       75       11,983.28     3,808.84
   199 05f51e13da97139648b8125c31e5f51b          15,788.30       60       13,769.01     2,019.29
   200 530ec6109d11eaaf87999465c6afee01          15,640.21       97       12,983.81     2,656.40
   201 289cdb325fb7e7f891c38608bf9e0962          15,639.29      110       13,544.95     2,094.34
   202 b8bc237ba3788b23da09c0f1f3a3288c          15,621.16       45       13,685.71     1,935.45
   203 a7f13822ceb966b076af67121f87b063          15,595.12       75       12,477.64     3,117.48
   204 c31eff8334d6b3047ed34bebd4d62c36          15,586.05      122       13,191.50     2,394.55
   205 080199a181c46c657dc5aa235411be3b          15,544.88       79       14,504.20     1,040.68
   206 aba1721a889e04decc910aa13b768ef4          15,352.47       83       14,103.30     1,249.17
   207 431af27f296bc6519d890aa5a05fdb11          15,250.85      117       13,109.50     2,141.35
   208 e2a1ac9bf33e5549a2a4f834e70df2f8          15,200.56        5       14,999.45       201.11
   209 c6bda72e4dbf5c5866b13cb1810c6d03          15,196.12       59       14,059.38     1,136.74
   210 48436dade18ac8b2bce089ec2a041202          15,183.64      138       12,271.71     2,911.93
   211 cf8ab1616079e2793aa29d524df01bb1          15,150.37        9       14,391.00       759.37
   212 2e1c9f22be269ef4643f826c9e650a52          15,122.37      167       12,687.68     2,434.69
   213 0ea22c1cfbdc755f86b9b54b39c16043          15,075.31      237       10,711.70     4,363.61
   214 a6bd7d1ccdac48c6b33b28596b7eb122          15,046.63       16       14,368.61       678.02
   215 0b35c634521043bf4b47e21547b99ab5          15,008.74       51       13,533.65     1,475.09
   216 1ca7077d890b907f89be8c954a02686a          15,001.43      115       13,341.57     1,659.86
   217 9e6229250fedbe05838fef417b74e7fb          14,986.65       74       13,132.20     1,854.45
   218 00fc707aaaad2d31347cf883cd2dfe10          14,969.99      103       12,684.90     2,285.09
   219 ef506c96320abeedfb894c34db06f478          14,968.43      324        9,771.43     5,197.00
   220 d50d79cb34e38265a8649c383dcffd48          14,944.68       70       13,012.42     1,932.26
   221 e26901d5ab434ce92fd9b5c256820a4e          14,938.88      202       11,990.90     2,947.98
   222 e8b3a3a38279a82f0e5d006d5e5b7d2c          14,916.39       87       13,154.70     1,761.69
   223 ce7d1888639e6fb06b2749cbfdac1ff7          14,876.54       78       11,793.89     3,082.65
   224 813348c996469b40f2e028d5429d3495          14,800.43      179       11,205.83     3,594.60
   225 2b1a40c1daabc6ca280c4b815c101841          14,634.88       23       12,732.60     1,902.28
   226 d05ae8f7a5bd1d2a690a44cd079e4e27          14,595.43       78       13,436.00     1,159.43
   227 f08a5b9dd6767129688d001acafc21e5          14,565.74       11       14,069.63       496.11
   228 240b9776d844d37535668549a396af32          14,452.65       36       13,592.08       860.57
   229 610f72e407cdd7caaa2f8167b0163fd8          14,429.45       16       13,585.16       844.29
   230 34d1ca11b242c0fee2c834ae8d788566          14,404.28       40       13,422.24       982.04
   231 0be8ff43f22e456b4e0371b2245e4d01          14,384.65      161       11,805.50     2,579.15
   232 8d956fec2e4337affcb520f56fd8cbfd          14,343.14      211       11,015.19     3,327.95
   233 d6b1ce66b035a475f00c017792ff9769          14,315.88       92       12,277.40     2,038.48
   234 cab85505710c7cb9b720bceb52b01cee          14,295.24      206       11,389.10     2,906.14
   235 99eaacc9e6046db1c82b163c5f84869f          14,274.52       66       13,139.17     1,135.35
   236 95e03ca3d4146e4011985981aeb959b9          14,243.50      175       11,009.96     3,233.54
   237 80e6699fe29150b372a0c8a1ebf7dcc8          14,154.90       98       11,441.56     2,713.34
   238 ad97a199236354e53fcd91a5a913e9a2          14,074.70       17       13,205.90       868.80
   239 ff063b022a9a0aab91bad2c9088760b7          14,061.27       94       12,076.50     1,984.77
   240 e24fc9fcd865784fb25705606fe3dfe7          13,966.71       52       12,936.00     1,030.71
   241 7202e2ba20579a9bd1acb29e61fe71f6          13,916.16       53       12,750.50     1,165.66
   242 5a8e7d5003a1f221f9e1d6e411de7c23          13,866.19      139       11,171.90     2,694.29
   243 8cc6a0e5738e61a87b03c78b2ba9db4b          13,838.22       24       13,312.40       525.82
   244 b372ee768ed69e46ca8cdbd267aa7a38          13,813.84       63       12,630.00     1,183.84
   245 6cd68b3ed6d59aaa9fece558ad360c0a          13,718.46      149       11,188.57     2,529.89
   246 adbc26658d6c7b4b6219f9d934598091          13,692.25       88       11,806.40     1,885.85
   247 c66dccfb3f109511246da627dd5a2498          13,682.25       45       12,708.55       973.70
   248 c8b0e2b0a7095e5d8219575d5e7e1181          13,657.34       84       12,170.21     1,487.13
   249 c60b801f2d52c7f7f91de00870882a75          13,652.89       41       12,913.50       739.39
   250 056b4ada5bbc2c50cc7842547dda6b51          13,639.41       65       12,333.39     1,306.02
   251 5d378b73ab7dd6f0418d743e5dcb0bd1          13,636.28        7       13,243.00       393.28
   252 6e386f64c84e482f0b9abf960797ee1b          13,563.66       30       12,938.30       625.36
   253 70c27847eca8195c983ed7e798c56743          13,529.18       77       12,077.52     1,451.66
   254 1d8dbc4f32378d715c717c1c1fc57bae          13,421.05       92       11,315.89     2,105.16
   255 25e6ffe976bd75618accfe16cefcbd0d          13,396.85      108       11,691.61     1,705.24
   256 ed4acab38528488b65a9a9c603ff024a          13,369.76       32       12,759.45       610.31
   257 09f952a5f58d2285b0372551ae8f9b01          13,346.46       50       11,821.50     1,524.96
   258 039e6ad9dae79614493083e241147386          13,273.42        5       12,925.00       348.42
   259 c510bc1718f0f2961eaa42a23330681a          13,211.87       13       12,251.00       960.87
   260 ca3bd7cd9f149df75950150d010fe4a2          13,171.37       71        9,731.85     3,439.52
   261 54965bbe3e4f07ae045b90b0b8541f52          13,164.84       78       10,961.30     2,203.54
   262 23d7c96d4a1160db1c726b248601b25a          13,146.52       53       11,766.94     1,379.58
   263 d1b65fc7debc3361ea86b5f14c68d2e2          13,141.80       40       11,703.07     1,438.73
   264 562fc2f2c2863ab7e79a9e4388a58a14          13,119.34      260        8,814.20     4,305.14
   265 8b8cfc8305aa441e4239358c9f6f2485          13,110.70       15       11,892.00     1,218.70
   266 5058e8c1e82653974541e83690655b4a          13,077.93       63       10,022.82     3,055.11
   267 1da3aeb70d7989d1e6d9b0e887f97c23          13,055.36      265        8,823.52     4,231.84
   268 ce27a3cc3c8cc1ea79d11e561e9bebb6          13,011.87      135       10,682.65     2,329.22
   269 f262cbc1c910c83959f849465454ddd3          12,989.85      192       10,482.83     2,507.02
   270 66e0557ecc2b4dbea057e93f215f68d8          12,977.99       31       12,480.00       497.99
   271 4830e40640734fc1c52cd21127c341d4          12,970.02      210        9,843.47     3,126.55
   272 7040e82f899a04d1b434b795a43b4617          12,955.98      212        9,738.20     3,217.78
   273 b499c00f28f4b7069ff6550af8c1348a          12,905.08      152       10,327.13     2,577.95
   274 b4f8921fcc4ff77b66bea6dda43dcd51          12,863.41       18       11,395.05     1,468.36
   275 dd2bdf855a9172734fbc3744021ae9b9          12,853.88      108       10,816.70     2,037.18
   276 ccb83a794700270fde70898fe9ff368b          12,785.73       12       11,062.00     1,723.73
   277 c9c7905cffc4ef9ff9f113554423e671          12,766.71      127       10,657.18     2,109.53
   278 fbc14c0cf93505ef89f64665ffa4a7b5          12,758.93       18       12,227.82       531.11
   279 f3b80352b986ab4d1057a4b724be19d0          12,692.73       87       10,505.10     2,187.63
   280 7ea5bfa6c340f58f8e71fc1f0412b0d6          12,663.88       98       11,002.89     1,660.99
   281 d71d863e5ef30d94e440c11be17dcd8f          12,655.65       29       11,900.90       754.75
   282 72c5da29406b4234927b81855e7b64f6          12,652.47       31       11,798.69       853.78
   283 1c129092bf23f28a5930387c980c0dfc          12,589.29      201        9,553.62     3,035.67
   284 c4f7fee5b0db50e87766f5a4d1b1b758          12,533.60        8       11,961.83       571.77
   285 7901646fdd36a55f564ffaf2dbccaaf7          12,478.83       22       11,857.08       621.75
   286 82e0a475a88cc9595229d8029273f045          12,415.92       42       10,930.02     1,485.90
   287 5343d0649eca2a983820bfe93fc4d17e          12,393.23       71       10,000.64     2,392.59
   288 6973a06f484aacf400ece213dbf3d946          12,374.62       95       11,011.05     1,363.57
   289 c864036feaab8c1659f65ea4faebe1da          12,299.77       58       10,454.20     1,845.57
   290 33a6f4b1e7cdc205511e76ba1b6e0186          12,183.91      105       10,295.01     1,888.90
   291 17ca9b9e9b9ef8fdb529001b49ebb50f          12,120.72      116        9,754.83     2,365.89
   292 f80edd2c5aaa505cc4b0a3b219abf4b8          12,108.94      119        9,108.20     3,000.74
   293 dd7ddc04e1b6c2c614352b383efe2d36          12,072.00      122        9,178.51     2,893.49
   294 4e7c18b98d84e05cbae3ff0ff03846c2          12,053.88       82        9,177.90     2,875.98
   295 c4d51195486dc781531876a7d00453d8          12,038.35       17       11,468.98       569.37
   296 bba3293d6f5d5af2f415e004e8b93ae3          12,028.79       17       11,702.10       326.69
   297 bd23da7354813347129d751591d1a6e2          12,011.13       89       10,544.30     1,466.83
   298 9d5a9018aee56acb367ba9c3f05d1d6a          11,982.21       67       10,292.31     1,689.90
   299 8b28d096634035667e8263d57ba3368c          11,967.15      143        9,375.70     2,591.45
   300 31344c16881c08a8a72c6d2eb29918c1          11,912.62       43        9,615.70     2,296.92
   301 fffd5413c0700ac820c7069d66d98c89          11,896.04       60        9,062.30     2,833.74
   302 32b8764b4ef628b53608fc34011fcc13          11,854.42       36        8,884.00     2,970.42
   303 01cf7e3d21494c41fb86034f2e714fa1          11,738.18       61        9,729.36     2,008.82
   304 aaed1309374718fdd995ee4c58c9dfcd          11,708.02      105        9,376.95     2,331.07
   305 aafe36600ce604f205b86b5084d3d767          11,673.20      129        9,251.40     2,421.80
   306 9b013e03b2ab786505a1d3b5c0756754          11,631.61      174        9,027.40     2,604.21
   307 36a968b544695394e4e9d7572688598f          11,628.87      154        9,482.87     2,146.00
   308 3db66a856d18a9cba7c9241fc5221c50          11,522.66       94        9,478.30     2,044.36
